Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
NỬA VÒNG TRÁI ĐẤT HƠN BẢY NĂM, Nửa vòng trái đất hơn 7 năm,Nửa vòng trái đất hơn 7 năm.,nửa vòng trái đất hơn bảy năm,nửa vòng trái đất hơn bảy năm,nửa vòng trái đất hơn bảy năm,0,0
CỦA NHỮNG THẾ LỰC HÙNG MẠNH, của những thế lực hùng mạnh,của những thế lực hung hãn.,của những thế lực hùng mạnh,của những thế lực hùng mạnh,của những thế lực hung hãn,0,0.3333
TÊN GỌI TẠI ĐỊA PHƯƠNG LÀ TRẮC THỐI, Tên gọi tại địa phương là Trắc Thối.,tên gọi tại địa phương là trắc thối.,tên gọi tại địa phương là trắc thối,tên gọi tại địa phương là trắc thối,tên gọi tại địa phương là trắc thối,0,0
HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN, Hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn.,Hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn.,hãy tưởng tượng rằng bạn là là giám đốc dự án trong một công ty lớn,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn,hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn,0.0625,0.0625
NHƯNG MÙI HÔI VẪN XỘC VÀO TẬN ÓC, nhưng mùi hôi vẫn sọc vào tận ốc.,Nhưng mùi hôi vẫn sọc vào tận óc.,nhưng mùi hôi vẫn xộc vào tận óc,nhưng mùi hôi vẫn sọc vào tận ốc,nhưng mùi hôi vẫn sọc vào tận óc,0.25,0.125
BỐN CHIẾC TRỐNG ĐẠI PHÈNG LA, 4 chiếc trống đại phèn la.,Bốn chiếc trống đại phèn la.,bốn chiếc trống đại phèng la,bốn chiếc trống đại phèn la,bốn chiếc trống đại phèn la,0.1667,0.1667
LẦN LỮA MÃI MỚI GẶP ĐƯỢC TUYÊN, Lần nữa Mãi mới gặp được Tuyên,"Lần nữa mãi mới gặp được Tuyên.
",lần lữa mãi mới gặp được tuyên,lần nữa mãi mới gặp được tuyên,lần nữa mãi mới gặp được tuyên,0.1429,0.1429
NGỒI CHỒM CHỒM CÁCH CHỈ MẤY MÉT, Ngồi trồm trồm cách chỉ mấy mét.,ngồi chồm chồm cách chỉ mấy mét.,ngồi chồm chồm cách chỉ mấy mét,ngồi trồm trồm cách chỉ mấy mét,ngồi chồm chồm cách chỉ mấy mét,0.2857,0
CẢ KHÔNG GIAN NHUỐM MÀU TRO BẾP, Cả không gian nhuống màu trò bếp,cả không gian nhuốm màu tro bếp.,cả không gian nhuốm màu tro bếp,cả không gian nhuống màu trò bếp,cả không gian nhuốm màu tro bếp,0.2857,0
NHƯNG MỨC ÁN TỬ HÌNH ĐỐI VỚI CÁC BỊ CÁO LÀ TƯƠNG XỨNG, nhưng mức án tử hình đối với các bị cáo là tương dứng.,Nhưng mức án tử hình đối với các bị cáo là tướng lĩnh.,nhưng mức án tử hình đối với các bị cáo là tương xứng,nhưng mức án tử hình đối với các bị cáo là tương dứng,nhưng mức án tử hình đối với các bị cáo là tướng lĩnh,0.0769,0.1538
CHẬM NẮM BẮT XU HƯỚNG PHÁT TRIỂN CÔNG NGHỆ MỚI, Chậm nắm bắt xu hướng phát triển công nghệ mới,"chậm nắm bắt xu hướng phát triển công nghệ mới.
",chậm nắm bắt xu hướng phát triển công nghệ mới,chậm nắm bắt xu hướng phát triển công nghệ mới,chậm nắm bắt xu hướng phát triển công nghệ mới,0,0
MỖI NGƯỜI MỘT SỐ PHẬN EM À, Mỗi người một số phận em à,Mỗi người một số phận em à.,mỗi người một số phận em à,mỗi người một số phận em à,mỗi người một số phận em à,0,0
NGUYÊN THỨ TRƯỞNG MAI VĂN DÂU ĐÃ BỊ BẮT, Nguyên Thứ trưởng Mai Văn Dâu đã bị bắt,Nguyên thứ trưởng Mai Văn Dâu đã bị bắt.,nguyên thứ trưởng mai văn dâu đã bị bắt,nguyên thứ trưởng mai văn dâu đã bị bắt,nguyên thứ trưởng mai văn dâu đã bị bắt,0,0
CỘNG ĐỒNG NGƯỜI MÊ TOÁN HỌC TRÊN TOÀN THẾ GIỚI, Cộng đồng người mê toán học trên toàn thế giới,Cộng đồng người mê toán học trên toàn thế giới.,cộng đồng người mê toán học trên toàn thế giới,cộng đồng người mê toán học trên toàn thế giới,cộng đồng người mê toán học trên toàn thế giới,0,0
CŨNG ĐỀU TRONG TƯ THẾ NGÕ NHỎ PHỐ NHỎ PHỞ TÔI Ở ĐÓ," Cũng đều trong tư thế ngõ phố, phố nhỏ vợ tôi ở đó.","cũng đều trong tư thế ngõ phố, phố nhỏ vợ tôi ở đó.
",cũng đều trong tư thế ngõ nhỏ phố nhỏ phở tôi ở đó,cũng đều trong tư thế ngõ phố phố nhỏ vợ tôi ở đó,cũng đều trong tư thế ngõ phố phố nhỏ vợ tôi ở đó,0.1538,0.1538
THẬT RA THÌ CŨNG KHÔNG THỂ LÀM CẦU KÌ NHƯ Ở NHÀ ĐƯỢC, Thật ra thì cũng không thể làm cầu kỳ như ở nhà được.,thật ra thì cũng không thể làm cầu kỳ như ở nhà được.,thật ra thì cũng không thể làm cầu kì như ở nhà được,thật ra thì cũng không thể làm cầu kỳ như ở nhà được,thật ra thì cũng không thể làm cầu kỳ như ở nhà được,0.0769,0.0769
MÂM CƠM VẪN THANH ĐẠM TỦ ÁO CỦA VỢ CŨNG CHỈ VÀI BỘ ĐƠN SƠ," Mâm cơm vẫn thanh đạm, tổ áo của vợ cũng chỉ vài bộ đớt sơ.","Mâm cơm vẫn thanh đạm, tủ áo của vợ cũng chỉ vài bộ đơn sơ.",mâm cơm vẫn thanh đạm tủ áo của vợ cũng chỉ vài bộ đơn sơ,mâm cơm vẫn thanh đạm tổ áo của vợ cũng chỉ vài bộ đớt sơ,mâm cơm vẫn thanh đạm tủ áo của vợ cũng chỉ vài bộ đơn sơ,0.1333,0
CÂU CHUYỆN CỦA QUÁ KHỨ ÔNG KỂ KHÔNG BIẾT BAO NHIÊU LẦN, Câu chuyện của quá khứ ông kể không biết bao nhiêu lần,Câu chuyện của quá khứ ông kể không biết bao nhiêu lần.,câu chuyện của quá khứ ông kể không biết bao nhiêu lần,câu chuyện của quá khứ ông kể không biết bao nhiêu lần,câu chuyện của quá khứ ông kể không biết bao nhiêu lần,0,0
SÁNG CHÚNG TÔI TẠM BIỆT THUNG NAI VÀ NHỮNG CHỦ NHÂN MẾN KHÁCH MỘC MẠC, Sáng chúng tôi tạm biệt thung nai và những chủ nhân mến khách bộc mạng.,Sáng chúng tôi tạm biệt Thung Nai và những chủ nhân mến khách mộc mạc.,sáng chúng tôi tạm biệt thung nai và những chủ nhân mến khách mộc mạc,sáng chúng tôi tạm biệt thung nai và những chủ nhân mến khách bộc mạng,sáng chúng tôi tạm biệt thung nai và những chủ nhân mến khách mộc mạc,0.1333,0
ÔNG ĂN CHAY MÀ NGHĨ MẶN THÌ ĂN CHAY LÀM CHI, Ông ăn chay mà nghĩ mặn thì ăn chay làm chi?,Ông ăn chay mà nghĩ mặn thì ăn chay làm chi?,ông ăn chay mà nghĩ mặn thì ăn chay làm chi,ông ăn chay mà nghĩ mặn thì ăn chay làm chi?,ông ăn chay mà nghĩ mặn thì ăn chay làm chi?,0.0909,0.0909
CUỘC THI TỰ HÀO SỬ VIỆT ĐÃ HẾT GIAI ĐOẠN I, Cuộc thi tự hào sửa Việt đã hết giai đoạn.,Cuộc thi Tự hào Sử Việt đã hết giai đoạn.,cuộc thi tự hào sử việt đã hết giai đoạn i,cuộc thi tự hào sửa việt đã hết giai đoạn,cuộc thi tự hào sử việt đã hết giai đoạn,0.1818,0.0909
HIỆN NAY BÀ ĐANG BỊ NHIỀU BỆNH VÀ SỐNG DƯỚI MỨC NGHÈO KHỔ, Hiện nay bà đang bị nhiều bệnh và sống dưới mức nghèo khổ.,"Hiện nay, bà đang bị nhiều bệnh và sống dưới mức nghèo khổ.",hiện nay bà đang bị nhiều bệnh và sống dưới mức nghèo khổ,hiện nay bà đang bị nhiều bệnh và sống dưới mức nghèo khổ,hiện nay bà đang bị nhiều bệnh và sống dưới mức nghèo khổ,0,0
ĐÂY LÀ THÁNG CÓ SỐ ĐĂNG KÝ THẤP NHẤT TỪ ĐẦU NĂM ĐẾN NAY, Đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay.,"Đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay.
",đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay,đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay,đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay,0,0
VẢ LẠI THEO QUY CHẾ ĐÂY LÀ TRÁCH NHIỆM CỦA MỖI THÍ SINH," Và lại theo quy chế, đây là trách nhiệm của mỗi thí sinh.","Và lại theo quy chế, đây là trách nhiệm của mỗi thí sinh.",vả lại theo quy chế đây là trách nhiệm của mỗi thí sinh,và lại theo quy chế đây là trách nhiệm của mỗi thí sinh,và lại theo quy chế đây là trách nhiệm của mỗi thí sinh,0.0769,0.0769
MỘT CƠ QUAN CHÍNH THỨC ĐỂ KHÁCH HÀNG KHIẾU NẠI THAM KHẢO VÀ TIN TƯỞNG," Một cơ quan chính thức để khách hàng khiếu nại, tham khảo và tin tưởng","một cơ quan chính thức để khách hàng khiếu nại, tham khảo và tin tưởng.",một cơ quan chính thức để khách hàng khiếu nại tham khảo và tin tưởng,một cơ quan chính thức để khách hàng khiếu nại tham khảo và tin tưởng,một cơ quan chính thức để khách hàng khiếu nại tham khảo và tin tưởng,0,0
TRẢI DÀI HÀNG CHỤC CÂY SỐ ĐỀU THU GỌN VÀO TẦM MẮT, Chạy dài hàng chục cây số đều thu gọn vào tầm mắt,"Trải dài hàng chục cây số đều thu gọn vào tầm mắt.
",trải dài hàng chục cây số đều thu gọn vào tầm mắt,chạy dài hàng chục cây số đều thu gọn vào tầm mắt,trải dài hàng chục cây số đều thu gọn vào tầm mắt,0.0833,0
MỘT TÌNH HUỐNG ỨNG XỬ SƯ PHẠM TÔI LÀM BỘ TỈNH RỤI ĐƯỢC CÔ DUYỆT, Một tình huống ứng xử sư phạm tôi làm bộ tình rụi được cô Duyệt.,"Một tình huống ứng xử sư phạm tôi làm bộ tính ruồi được cô duyệt.
",một tình huống ứng xử sư phạm tôi làm bộ tỉnh rụi được cô duyệt,một tình huống ứng xử sư phạm tôi làm bộ tình rụi được cô duyệt,một tình huống ứng xử sư phạm tôi làm bộ tính ruồi được cô duyệt,0.0667,0.1333
NÓI CHUYỆN MỘT HỒI ÔNG LÀM BỘ ĐỂ TAY LÊN TAY EM TRÊN CẦN SỐ, Nói chuyện một hồi ông làm bộ để tay lên tay em trên cần số,"nói chuyện một hồi, ông làm bộ để tay lên tay em trên cần số.
",nói chuyện một hồi ông làm bộ để tay lên tay em trên cần số,nói chuyện một hồi ông làm bộ để tay lên tay em trên cần số,nói chuyện một hồi ông làm bộ để tay lên tay em trên cần số,0,0
CUỘC BIỂU TÌNH CỦA ÁO ĐỎ CÓ THỂ SẼ BIẾN THÀNH BẠO LỰC, Cục biểu tình của áo đỏ có thể sẽ biến thành bạo lực.,"Cuộc biểu tình của áo đỏ có thể sẽ biến thành bạo lực.
",cuộc biểu tình của áo đỏ có thể sẽ biến thành bạo lực,cục biểu tình của áo đỏ có thể sẽ biến thành bạo lực,cuộc biểu tình của áo đỏ có thể sẽ biến thành bạo lực,0.0769,0
KHIẾN CẢ HAI PHẢI GIẬN HỜN VÔ LÝ, khiến cả hai phải giận hờn vô lý.,khiến cả hai phải giận hờn vô lý.,khiến cả hai phải giận hờn vô lý,khiến cả hai phải giận hờn vô lý,khiến cả hai phải giận hờn vô lý,0,0
CÂU TRẢ LỜI CỦA ÔNG TA RẤT KHIẾM NHÃ, Câu trả lời của ông ta rất khiếm nhã.,Câu trả lời của của ông ta rất khiêm nhã.,câu trả lời của ông ta rất khiếm nhã,câu trả lời của ông ta rất khiếm nhã,câu trả lời của của ông ta rất khiêm nhã,0,0.2222
LÀM RỜM RỢP BIỂN MÂY LAU LÁCH PHẤT PHƠ, Làm rộm rộp biển mây lau lách vất vơ.,"làm rầm rập biển mây lau lách phất phơ.
",làm rờm rợp biển mây lau lách phất phơ,làm rộm rộp biển mây lau lách vất vơ,làm rầm rập biển mây lau lách phất phơ,0.4444,0.2222
ĐIỀU VÔ CÙNG QUAN TRỌNG TRONG THỜI ĐẠI CÓ QUÁ NHIỀU HOẠT ĐỘNG, Điều vô cùng quan trọng trong thời đại có nhiều hoạt động.,"Điều vô cùng quan trọng trong thời đại có nhiều hoạt động.
",điều vô cùng quan trọng trong thời đại có quá nhiều hoạt động,điều vô cùng quan trọng trong thời đại có nhiều hoạt động,điều vô cùng quan trọng trong thời đại có nhiều hoạt động,0.0769,0.0769
TÁM CHÍN MƯỜI MƯỜI MỘT," 8, 9, 10, 11","8 9 10 11
",tám chín mười mười một,tám chín mười mười một,tám chín mười mười một,0,0
THẾ NÀO LÀ HOÀN HẢO, Thế nào là hoàn hảo?,Thế nào là hoàn hảo?,thế nào là hoàn hảo,thế nào là hoàn hảo?,thế nào là hoàn hảo?,0.2,0.2
XUÂN NÀY EM KHÔNG VỀ, Xuân này em không về.,"Xuân này em không về.
",xuân này em không về,xuân này em không về,xuân này em không về,0,0
CĂN NHÀ ĐẰNG KIA NGHE NÓI CÓ MA, Căn nhà đằng kia nghe nói của ma.,"Căn nhà đằng kia nghe nói có ma.
",căn nhà đằng kia nghe nói có ma,căn nhà đằng kia nghe nói của ma,căn nhà đằng kia nghe nói có ma,0.125,0
HIỆN TRONG NHIỀU LOẠI TỎI CÓ MẶT TRÊN THỊ TRƯỜNG, Hiện trong nhiều loại tỏi có mặt trên thị trường.,"Có tỏi đen, tỏi trắng, tỏi cô đơn và tỏi Lý Sơn.",hiện trong nhiều loại tỏi có mặt trên thị trường,hiện trong nhiều loại tỏi có mặt trên thị trường,có tỏi đen tỏi trắng tỏi cô đơn và tỏi lý sơn,0,1.1
VỀ CHUYỆN ĐANG THEO DÕI BỌN GIÁN ĐIỆP NƯỚC NGOÀI, về chuyện đang theo dõi bọn gián điệp nước ngoài.,"về chuyện đang theo dõi bọn gián điệp nước ngoài.
",về chuyện đang theo dõi bọn gián điệp nước ngoài,về chuyện đang theo dõi bọn gián điệp nước ngoài,về chuyện đang theo dõi bọn gián điệp nước ngoài,0,0
TỨC LẤY SỤN LÀNH TỪ NƠI KHÔNG PHẢI CHỊU LỰC GHÉP VÀO NƠI HƯ, Tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư.,"tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư.
",tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư,tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư,tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư,0,0
SỢ NHẤT LÀ MÙA MƯA SẤM SÉT ĐÙNG ĐOÀNG TRÊN NÚI, Sợ nhất là mùa mưa sắm sát đùng đoàn trên núi.,Sợ nhất là mùa mưa sấm sét đùng đoàng trên núi.,sợ nhất là mùa mưa sấm sét đùng đoàng trên núi,sợ nhất là mùa mưa sắm sát đùng đoàn trên núi,sợ nhất là mùa mưa sấm sét đùng đoàng trên núi,0.2727,0
TRÊN BẦU TRỜI ÁNH TRĂNG SÁNG VẰNG VẶC, Trên bầu trời ánh trăng sáng vằn vặt.,Trên bầu trời ánh trăng sáng vằng vặc.,trên bầu trời ánh trăng sáng vằng vặc,trên bầu trời ánh trăng sáng vằn vặt,trên bầu trời ánh trăng sáng vằng vặc,0.25,0
LÀ TỔ TIÊN CỦA ÔNG ĐẶNG LÊN ĐẢM TRÁCH VIỆC DẪN ĐƯỜNG, là tổ tiên của ông đặn lên đảm trách việc dẫn đường.,là tổ tiên của ông Đặng lên đảm trách việc dẫn đường.,là tổ tiên của ông đặng lên đảm trách việc dẫn đường,là tổ tiên của ông đặn lên đảm trách việc dẫn đường,là tổ tiên của ông đặng lên đảm trách việc dẫn đường,0.0833,0
THÍ SINH TỰ DO CẦN QUAN TÂM ĐẾN ĐỘ VÊNH KIẾN THỨC CÁC MÔN, Thí sinh tự do cần quan tâm đến độ vên kiến thức các môn.,"Thí sinh tự do cần quan tâm đến độ vênh kiến thức các môn.
",thí sinh tự do cần quan tâm đến độ vênh kiến thức các môn,thí sinh tự do cần quan tâm đến độ vên kiến thức các môn,thí sinh tự do cần quan tâm đến độ vênh kiến thức các môn,0.0714,0
CHÍN MƯƠI TÁM CHÍN MƯƠI CHÍN," 98, 99",98 99.,chín mươi tám chín mươi chín,chín mươi tám chín mươi chín,chín mươi tám chín mươi chín,0,0
MỖI NGƯỜI CHÚNG TA SẼ CÓ NHỮNG THỨ KHÁC NHAU, Mọi người chúng ta sẽ có những thứ khác nhau.,"Mỗi người chúng ta sẽ có những thứ khác nhau.
",mỗi người chúng ta sẽ có những thứ khác nhau,mọi người chúng ta sẽ có những thứ khác nhau,mỗi người chúng ta sẽ có những thứ khác nhau,0.1,0
NƯỚC CHẢY QUÁ MẠNH, Nước chảy quá mạnh,Nước chảy quá mạnh.,nước chảy quá mạnh,nước chảy quá mạnh,nước chảy quá mạnh,0,0
KHI MIỆNG VẪN NGẬM BẦU VÚ QUẮT QUEO, Khi miệng vẫn nhậm bầu vú quắt queo,Khi miệng vẫn ngậm bầu vú quắt queo.,khi miệng vẫn ngậm bầu vú quắt queo,khi miệng vẫn nhậm bầu vú quắt queo,khi miệng vẫn ngậm bầu vú quắt queo,0.125,0
RỒI CHÌM LỈM MỘT THỜI GIAN, Rồi chìm lỉm một thời gian,Rồi chìm liễm một thời gian.,rồi chìm lỉm một thời gian,rồi chìm lỉm một thời gian,rồi chìm liễm một thời gian,0,0.1667
PHƯƠNG CHÂM SỐNG CỦA TÔI LÀ NGƯỜI KHÔNG VÌ MÌNH TRỜI TRU ĐẤT DIỆT, Phương chăm sóng của tôi là người không vì mình chờ chú đất diệt.,"Phương châm sống của tôi là người không vì mình trời chu đất diệt.
",phương châm sống của tôi là người không vì mình trời tru đất diệt,phương chăm sóng của tôi là người không vì mình chờ chú đất diệt,phương châm sống của tôi là người không vì mình trời chu đất diệt,0.2857,0.0714
NẾU CHỦ ĐẦU TƯ KHÔNG TỰ PHÁ DỠ THÌ BỊ CƯỠNG CHẾ, Nếu chủ đầu tư không tự phá giở thì bị cưỡng chế.,Nếu chủ đầu tư không tự phá dỡ thì bị cưỡng chế.,nếu chủ đầu tư không tự phá dỡ thì bị cưỡng chế,nếu chủ đầu tư không tự phá giở thì bị cưỡng chế,nếu chủ đầu tư không tự phá dỡ thì bị cưỡng chế,0.0833,0
BÂY GIỜ THÌ ĐÁNG ĐƯỢC KHEN LÀ THÔNG MINH CHỨ HẢ, Bây giờ thì đáng được khen là thông minh chứ hả?,"Bây giờ thì đáng được khen là thông minh chứ hả?
",bây giờ thì đáng được khen là thông minh chứ hả,bây giờ thì đáng được khen là thông minh chứ hả?,bây giờ thì đáng được khen là thông minh chứ hả?,0.0909,0.0909
ĐÓ CŨNG LÀ SỰ TIẾP XÚC GẦN GŨI NHẤT CỦA BỌN EM, Đó cũng là sự tiếp xúc gần gũi nhất của bọn em,Đó cũng là sự tiếp xúc gần gũi nhất của bọn em.,đó cũng là sự tiếp xúc gần gũi nhất của bọn em,đó cũng là sự tiếp xúc gần gũi nhất của bọn em,đó cũng là sự tiếp xúc gần gũi nhất của bọn em,0,0
ĐỂ XIN THỊ THỰC CÔNG TÁC VỀ CƠ BẢN BẠN PHẢI CÓ," Để sinh thủy thật công tác về cơ bản, bạn phải có","Để xin thị thực công tác, về cơ bản bạn phải có
",để xin thị thực công tác về cơ bản bạn phải có,để sinh thủy thật công tác về cơ bản bạn phải có,để xin thị thực công tác về cơ bản bạn phải có,0.25,0
DO VẬY SẼ ẢNH HƯỞNG TỚI VIỆC THU SÓNG VÔ TUYẾN, Do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến.,Do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến.,do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến,do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến,do vậy sẽ ảnh hưởng tới việc thu sóng vô tuyến,0,0
THẾ NHƯNG KHI GIÁ PHÔI THÉP THẾ GIỚI CAO DẦN, Thế nhưng khi giả phôi thép thế giới cao dần,"thế nhưng khi giá phôi thép thế giới cao dần,",thế nhưng khi giá phôi thép thế giới cao dần,thế nhưng khi giả phôi thép thế giới cao dần,thế nhưng khi giá phôi thép thế giới cao dần,0.1,0
ÔNG NHẶT NÓ LÊN, Ông nhặt nó lên,"Ông nhặt nó lên.
",ông nhặt nó lên,ông nhặt nó lên,ông nhặt nó lên,0,0
DOANH NGHIỆP TUYỂN DỤNG LAO ĐỘNG NƯỚC NGOÀI, Doanh nghiệp tuyển dụng lao động nước ngoài,Doanh nghiệp tuyển dụng lao động nước ngoài.,doanh nghiệp tuyển dụng lao động nước ngoài,doanh nghiệp tuyển dụng lao động nước ngoài,doanh nghiệp tuyển dụng lao động nước ngoài,0,0
TỨC KHẮC ẬP VỀ KÉO MỌI NGƯỜI THỨ TRỞ LẠI THỜI HOANG SƠ, Tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ,tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ.,tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ,tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ,tức khắc ập về kéo mọi người thứ trở lại thời hoang sơ,0,0
CHƯA RỤC RỊCH GÌ, Chưa rụt rịch gì,"Chưa rục rịch gì.
",chưa rục rịch gì,chưa rụt rịch gì,chưa rục rịch gì,0.25,0
RA HIỆU CHO TÔI IM LẶNG, Ra hiệu cho tôi im lặng.,ra hiệu cho tôi im lặng.,ra hiệu cho tôi im lặng,ra hiệu cho tôi im lặng,ra hiệu cho tôi im lặng,0,0
TÔI NGHĨ THỦ TƯỚNG SẼ KHÔNG NÉ TRÁNH BẤT CỨ CÂU HỎI NÀO, Tôi nghĩ Thủ tướng sẽ không né tránh bất cứ câu hỏi nào,Tôi nghĩ thủ tướng sẽ không né tránh bất cứ câu hỏi nào.,tôi nghĩ thủ tướng sẽ không né tránh bất cứ câu hỏi nào,tôi nghĩ thủ tướng sẽ không né tránh bất cứ câu hỏi nào,tôi nghĩ thủ tướng sẽ không né tránh bất cứ câu hỏi nào,0,0
