Reference,Whisper_Transcription,Gemini_Transcription
NỬA VÒNG TRÁI ĐẤT HƠN BẢY NĂM, Nửa vòng trái đất hơn 7 năm,Nửa vòng trái đất hơn 7 năm.
CỦA NHỮNG THẾ LỰC HÙNG MẠNH, của những thế lực hùng mạnh,của những thế lực hung hãn.
TÊN GỌI TẠI ĐỊA PHƯƠNG LÀ TRẮC THỐI, Tên gọi tại địa phương là Trắc Thối.,tên gọi tại địa phương là trắc thối.
HÃY TƯỞNG TƯỢNG RẰNG BẠN LÀ LÀ GIÁM ĐỐC DỰ ÁN TRONG MỘT CÔNG TY LỚN, Hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn.,Hãy tưởng tượng rằng bạn là giám đốc dự án trong một công ty lớn.
NHƯNG MÙI HÔI VẪN XỘC VÀO TẬN ÓC, nhưng mùi hôi vẫn sọc vào tận ốc.,Nhưng mùi hôi vẫn sọc vào tận óc.
BỐN CHIẾC TRỐNG ĐẠI PHÈNG LA, 4 chiếc trống đại phèn la.,Bốn chiếc trống đại phèn la.
LẦN LỮA MÃI MỚI GẶP ĐƯỢC TUYÊN, Lần nữa Mãi mới gặp được Tuyên,"Lần nữa mãi mới gặp được Tuyên.
"
NGỒI CHỒM CHỒM CÁCH CHỈ MẤY MÉT, Ngồi trồm trồm cách chỉ mấy mét.,ngồi chồm chồm cách chỉ mấy mét.
CẢ KHÔNG GIAN NHUỐM MÀU TRO BẾP, Cả không gian nhuống màu trò bếp,cả không gian nhuốm màu tro bếp.
NHƯNG MỨC ÁN TỬ HÌNH ĐỐI VỚI CÁC BỊ CÁO LÀ TƯƠNG XỨNG, nhưng mức án tử hình đối với các bị cáo là tương dứng.,Nhưng mức án tử hình đối với các bị cáo là tướng lĩnh.
CHẬM NẮM BẮT XU HƯỚNG PHÁT TRIỂN CÔNG NGHỆ MỚI, Chậm nắm bắt xu hướng phát triển công nghệ mới,"chậm nắm bắt xu hướng phát triển công nghệ mới.
"
MỖI NGƯỜI MỘT SỐ PHẬN EM À, Mỗi người một số phận em à,Mỗi người một số phận em à.
NGUYÊN THỨ TRƯỞNG MAI VĂN DÂU ĐÃ BỊ BẮT, Nguyên Thứ trưởng Mai Văn Dâu đã bị bắt,Nguyên thứ trưởng Mai Văn Dâu đã bị bắt.
CỘNG ĐỒNG NGƯỜI MÊ TOÁN HỌC TRÊN TOÀN THẾ GIỚI, Cộng đồng người mê toán học trên toàn thế giới,Cộng đồng người mê toán học trên toàn thế giới.
CŨNG ĐỀU TRONG TƯ THẾ NGÕ NHỎ PHỐ NHỎ PHỞ TÔI Ở ĐÓ," Cũng đều trong tư thế ngõ phố, phố nhỏ vợ tôi ở đó.","cũng đều trong tư thế ngõ phố, phố nhỏ vợ tôi ở đó.
"
THẬT RA THÌ CŨNG KHÔNG THỂ LÀM CẦU KÌ NHƯ Ở NHÀ ĐƯỢC, Thật ra thì cũng không thể làm cầu kỳ như ở nhà được.,thật ra thì cũng không thể làm cầu kỳ như ở nhà được.
MÂM CƠM VẪN THANH ĐẠM TỦ ÁO CỦA VỢ CŨNG CHỈ VÀI BỘ ĐƠN SƠ," Mâm cơm vẫn thanh đạm, tổ áo của vợ cũng chỉ vài bộ đớt sơ.","Mâm cơm vẫn thanh đạm, tủ áo của vợ cũng chỉ vài bộ đơn sơ."
CÂU CHUYỆN CỦA QUÁ KHỨ ÔNG KỂ KHÔNG BIẾT BAO NHIÊU LẦN, Câu chuyện của quá khứ ông kể không biết bao nhiêu lần,Câu chuyện của quá khứ ông kể không biết bao nhiêu lần.
SÁNG CHÚNG TÔI TẠM BIỆT THUNG NAI VÀ NHỮNG CHỦ NHÂN MẾN KHÁCH MỘC MẠC, Sáng chúng tôi tạm biệt thung nai và những chủ nhân mến khách bộc mạng.,Sáng chúng tôi tạm biệt Thung Nai và những chủ nhân mến khách mộc mạc.
ÔNG ĂN CHAY MÀ NGHĨ MẶN THÌ ĂN CHAY LÀM CHI, Ông ăn chay mà nghĩ mặn thì ăn chay làm chi?,Ông ăn chay mà nghĩ mặn thì ăn chay làm chi?
CUỘC THI TỰ HÀO SỬ VIỆT ĐÃ HẾT GIAI ĐOẠN I, Cuộc thi tự hào sửa Việt đã hết giai đoạn.,Cuộc thi Tự hào Sử Việt đã hết giai đoạn.
HIỆN NAY BÀ ĐANG BỊ NHIỀU BỆNH VÀ SỐNG DƯỚI MỨC NGHÈO KHỔ, Hiện nay bà đang bị nhiều bệnh và sống dưới mức nghèo khổ.,"Hiện nay, bà đang bị nhiều bệnh và sống dưới mức nghèo khổ."
ĐÂY LÀ THÁNG CÓ SỐ ĐĂNG KÝ THẤP NHẤT TỪ ĐẦU NĂM ĐẾN NAY, Đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay.,"Đây là tháng có số đăng ký thấp nhất từ đầu năm đến nay.
"
VẢ LẠI THEO QUY CHẾ ĐÂY LÀ TRÁCH NHIỆM CỦA MỖI THÍ SINH," Và lại theo quy chế, đây là trách nhiệm của mỗi thí sinh.","Và lại theo quy chế, đây là trách nhiệm của mỗi thí sinh."
MỘT CƠ QUAN CHÍNH THỨC ĐỂ KHÁCH HÀNG KHIẾU NẠI THAM KHẢO VÀ TIN TƯỞNG," Một cơ quan chính thức để khách hàng khiếu nại, tham khảo và tin tưởng","một cơ quan chính thức để khách hàng khiếu nại, tham khảo và tin tưởng."
TRẢI DÀI HÀNG CHỤC CÂY SỐ ĐỀU THU GỌN VÀO TẦM MẮT, Chạy dài hàng chục cây số đều thu gọn vào tầm mắt,"Trải dài hàng chục cây số đều thu gọn vào tầm mắt.
"
MỘT TÌNH HUỐNG ỨNG XỬ SƯ PHẠM TÔI LÀM BỘ TỈNH RỤI ĐƯỢC CÔ DUYỆT, Một tình huống ứng xử sư phạm tôi làm bộ tình rụi được cô Duyệt.,"Một tình huống ứng xử sư phạm tôi làm bộ tính ruồi được cô duyệt.
"
NÓI CHUYỆN MỘT HỒI ÔNG LÀM BỘ ĐỂ TAY LÊN TAY EM TRÊN CẦN SỐ, Nói chuyện một hồi ông làm bộ để tay lên tay em trên cần số,"nói chuyện một hồi, ông làm bộ để tay lên tay em trên cần số.
"
CUỘC BIỂU TÌNH CỦA ÁO ĐỎ CÓ THỂ SẼ BIẾN THÀNH BẠO LỰC, Cục biểu tình của áo đỏ có thể sẽ biến thành bạo lực.,"Cuộc biểu tình của áo đỏ có thể sẽ biến thành bạo lực.
"
KHIẾN CẢ HAI PHẢI GIẬN HỜN VÔ LÝ, khiến cả hai phải giận hờn vô lý.,khiến cả hai phải giận hờn vô lý.
CÂU TRẢ LỜI CỦA ÔNG TA RẤT KHIẾM NHÃ, Câu trả lời của ông ta rất khiếm nhã.,Câu trả lời của của ông ta rất khiêm nhã.
LÀM RỜM RỢP BIỂN MÂY LAU LÁCH PHẤT PHƠ, Làm rộm rộp biển mây lau lách vất vơ.,"làm rầm rập biển mây lau lách phất phơ.
"
ĐIỀU VÔ CÙNG QUAN TRỌNG TRONG THỜI ĐẠI CÓ QUÁ NHIỀU HOẠT ĐỘNG, Điều vô cùng quan trọng trong thời đại có nhiều hoạt động.,"Điều vô cùng quan trọng trong thời đại có nhiều hoạt động.
"
TÁM CHÍN MƯỜI MƯỜI MỘT," 8, 9, 10, 11","8 9 10 11
"
THẾ NÀO LÀ HOÀN HẢO, Thế nào là hoàn hảo?,Thế nào là hoàn hảo?
XUÂN NÀY EM KHÔNG VỀ, Xuân này em không về.,"Xuân này em không về.
"
CĂN NHÀ ĐẰNG KIA NGHE NÓI CÓ MA, Căn nhà đằng kia nghe nói của ma.,"Căn nhà đằng kia nghe nói có ma.
"
HIỆN TRONG NHIỀU LOẠI TỎI CÓ MẶT TRÊN THỊ TRƯỜNG, Hiện trong nhiều loại tỏi có mặt trên thị trường.,"Có tỏi đen, tỏi trắng, tỏi cô đơn và tỏi Lý Sơn."
VỀ CHUYỆN ĐANG THEO DÕI BỌN GIÁN ĐIỆP NƯỚC NGOÀI, về chuyện đang theo dõi bọn gián điệp nước ngoài.,"về chuyện đang theo dõi bọn gián điệp nước ngoài.
"
TỨC LẤY SỤN LÀNH TỪ NƠI KHÔNG PHẢI CHỊU LỰC GHÉP VÀO NƠI HƯ, Tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư.,"tức lấy sụn lành từ nơi không phải chịu lực ghép vào nơi hư.
"
SỢ NHẤT LÀ MÙA MƯA SẤM SÉT ĐÙNG ĐOÀNG TRÊN NÚI, Sợ nhất là mùa mưa sắm sát đùng đoàn trên núi.,Sợ nhất là mùa mưa sấm sét đùng đoàng trên núi.
TRÊN BẦU TRỜI ÁNH TRĂNG SÁNG VẰNG VẶC, Trên bầu trời ánh trăng sáng vằn vặt.,Trên bầu trời ánh trăng sáng vằng vặc.
LÀ TỔ TIÊN CỦA ÔNG ĐẶNG LÊN ĐẢM TRÁCH VIỆC DẪN ĐƯỜNG, là tổ tiên của ông đặn lên đảm trách việc dẫn đường.,là tổ tiên của ông Đặng lên đảm trách việc dẫn đường.
THÍ SINH TỰ DO CẦN QUAN TÂM ĐẾN ĐỘ VÊNH KIẾN THỨC CÁC MÔN, Thí sinh tự do cần quan tâm đến độ vên kiến thức các môn.,"Thí sinh tự do cần quan tâm đến độ vênh kiến thức các môn.
"
CHÍN MƯƠI TÁM CHÍN MƯƠI CHÍN," 98, 99",98 99.
MỖI NGƯỜI CHÚNG TA SẼ CÓ NHỮNG THỨ KHÁC NHAU, Mọi người chúng ta sẽ có những thứ khác nhau.,"Mỗi người chúng ta sẽ có những thứ khác nhau.
"
NƯỚC CHẢY QUÁ MẠNH, Nước chảy quá mạnh,Nước chảy quá mạnh.
